[08:14:03] jlat=31.2ms | unlink=0.3ms n=814205 | rmdir=11.0ms n=100432 | readdir=3.6ms n=11323288
[08:14:08] jlat=31.2ms | unlink=0.3ms n=817110 | rmdir=11.1ms n=100572 | readdir=3.6ms n=11323453
[08:14:14] jlat=31.2ms | unlink=0.3ms n=818925 | rmdir=11.1ms n=100652 | readdir=3.6ms n=11323537
[08:14:19] jlat=31.2ms | unlink=0.3ms n=821385 | rmdir=11.1ms n=100760 | readdir=3.6ms n=11323646
[08:14:25] jlat=31.2ms | unlink=0.3ms n=824277 | rmdir=11.1ms n=100888 | readdir=3.6ms n=11323774
[08:14:30] jlat=31.2ms | unlink=0.3ms n=827476 | rmdir=11.2ms n=101029 | readdir=3.6ms n=11323925
[08:14:35] jlat=31.2ms | unlink=0.3ms n=831403 | rmdir=11.2ms n=101206 | readdir=3.6ms n=11324590
[08:14:41] jlat=31.2ms | unlink=0.3ms n=834831 | rmdir=11.2ms n=101380 | readdir=3.6ms n=11324796
[08:14:46] jlat=31.2ms | unlink=0.3ms n=837304 | rmdir=11.2ms n=101489 | readdir=3.6ms n=11324905
[08:14:52] jlat=31.2ms | unlink=0.3ms n=839686 | rmdir=11.3ms n=101595 | readdir=3.6ms n=11325026
[08:14:57] jlat=31.2ms | unlink=0.3ms n=842528 | rmdir=11.3ms n=101722 | readdir=3.6ms n=11325158
[08:15:03] jlat=31.2ms | unlink=0.3ms n=846318 | rmdir=11.3ms n=101889 | readdir=3.6ms n=11325338
[08:15:08] jlat=31.2ms | unlink=0.3ms n=850197 | rmdir=11.3ms n=102059 | readdir=3.6ms n=11325508
[08:15:13] jlat=31.2ms | unlink=0.3ms n=853974 | rmdir=11.4ms n=102225 | readdir=3.6ms n=11325674
[08:15:19] jlat=31.2ms | unlink=0.3ms n=857130 | rmdir=11.4ms n=102364 | readdir=3.6ms n=11325813
[08:15:24] jlat=31.2ms | unlink=0.3ms n=860459 | rmdir=11.4ms n=102512 | readdir=3.6ms n=11325961
[08:15:30] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326042
[08:15:35] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326042
[08:15:40] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326043
[08:15:46] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326043
[08:15:51] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326044
[08:15:56] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326044
[08:16:02] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326056
[08:16:07] jlat=31.2ms | unlink=0.3ms n=862303 | rmdir=11.4ms n=102596 | readdir=3.6ms n=11326056
[08:16:13] jlat=31.2ms | unlink=0.3ms n=862308 | rmdir=11.4ms n=102598 | readdir=3.6ms n=11326059
[08:16:18] jlat=31.2ms | unlink=0.3ms n=862308 | rmdir=11.4ms n=102598 | readdir=3.6ms n=11326060
[08:16:23] jlat=31.2ms | unlink=0.3ms n=862309 | rmdir=11.4ms n=102598 | readdir=3.6ms n=11326061
[08:16:29] jlat=31.2ms | unlink=0.3ms n=862399 | rmdir=11.4ms n=102615 | readdir=3.6ms n=11326068
[08:16:34] jlat=31.2ms | unlink=0.3ms n=862399 | rmdir=11.4ms n=102615 | readdir=3.6ms n=11326071
[08:16:40] jlat=31.2ms | unlink=0.3ms n=862399 | rmdir=11.4ms n=102615 | readdir=3.6ms n=11326073
[08:16:45] jlat=31.2ms | unlink=0.3ms n=862399 | rmdir=11.4ms n=102615 | readdir=3.6ms n=11326074
[08:16:50] jlat=31.2ms | unlink=0.3ms n=862401 | rmdir=11.4ms n=102620 | readdir=3.6ms n=11326078
[08:16:56] jlat=31.2ms | unlink=0.3ms n=862439 | rmdir=11.4ms n=102643 | readdir=3.6ms n=11326088
[08:17:01] jlat=31.2ms | unlink=0.3ms n=862445 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326118
[08:17:07] jlat=31.2ms | unlink=0.3ms n=862447 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326119
[08:17:12] jlat=31.2ms | unlink=0.3ms n=862447 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326119
[08:17:17] jlat=31.2ms | unlink=0.3ms n=862447 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326120
[08:17:23] jlat=31.2ms | unlink=0.3ms n=862448 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326121
[08:17:28] jlat=31.2ms | unlink=0.3ms n=862448 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326121
[08:17:34] jlat=31.2ms | unlink=0.3ms n=862449 | rmdir=11.4ms n=102645 | readdir=3.6ms n=11326121
